alt; T; H; rho; P; mu
427000; 34.05444202847101; 996.6051710584268; 1.0229455634098777e-186; 8.405468885865881e-182; 4.013813943958125e-06
428000; 33.88459479027241; 991.6345820310922; 4.3569976256586526e-188; 3.580113085997249e-183; 3.999790151107711e-06
429000; 33.7155946687084; 986.6887839199566; 1.81742442744449e-189; 1.4933643610883237e-184; 3.985815355736668e-06
430000; 33.54743743876713; 981.767653079809; 7.423405597847725e-191; 6.099758091904457e-186; 3.971889386653576e-06
431000; 33.380118896509096; 976.8710664821219; 2.9687322219269273e-192; 2.4393855562259057e-187; 3.95801207326514e-06
432000; 33.21363485896201; 971.9989017119756; 1.1622585378550246e-193; 9.550193408833396e-189; 3.944183245574096e-06
433000; 33.047981164016285; 967.151036964997; 4.453904292120774e-195; 3.6597405851444315e-190; 3.930402734177133e-06
434000; 32.883153670320915; 962.3273510443155; 1.670427463666138e-196; 1.3725780309499901e-191; 3.916670370262816e-06
435000; 32.71914825717997; 957.527723357531; 6.1306258532041855e-198; 5.037490429913053e-193; 3.902985985609512e-06
436000; 32.555960824449556; 952.7520339137016; 2.201475962681301e-199; 1.808936698998604e-194; 3.88934941258334e-06
437000; 32.3935872924354; 948.0001633203427; 7.733857641933534e-201; 6.354854266173815e-196; 3.875760484136109e-06
438000; 32.23202360179072; 943.2719927804421; 2.657616325898509e-202; 2.1837438996700976e-197; 3.862219033803277e-06
439000; 32.07126571341484; 938.5674040894897; 8.93187661034007e-204; 7.339257691322983e-199; 3.848724895701906e-06
440000; 31.911309608352155; 933.8862796325229; 2.935536955356786e-205; 2.4121092484443597e-200; 3.835277904528636e-06
441000; 31.752151287691746; 929.2285023811874; 9.433362402172381e-207; 7.751324899073443e-202; 3.821877895557658e-06
442000; 31.59378677246729; 924.5939558908087; 2.9635958638992773e-208; 2.435165048397105e-203; 3.8085247046386945e-06
443000; 31.436212103557654; 919.9825242974832; 9.100891491315203e-210; 7.478135983003453e-205; 3.7952181681949886e-06
444000; 31.279423341587897; 915.3940923151805; 2.7314925802199117e-211; 2.2444474775841507e-206; 3.7819581232213024e-06
445000; 31.12341656683083; 910.8285452328629; 8.011346512051536e-213; 6.582864841455658e-208; 3.768744407281921e-06
446000; 30.96818787910895; 906.2857689116153; 2.295822521369245e-214; 1.8864605763099796e-209; 3.7555768585086583e-06
447000; 30.81373339769697; 901.7656497817927; 6.427409072643288e-216; 5.281355030931214e-211; 3.7424553155988755e-06
448000; 30.660049261224813; 897.2680748401815; 1.7576628050708278e-217; 1.4442586730245092e-212; 3.7293796178135085e-06
449000; 30.507131627581067; 892.7929316471741; 4.694333679842674e-219; 3.857299654759798e-214; 3.716349604975097e-06
450000; 30.35497667381693; 888.3401083239578; 1.2242990942255507e-220; 1.005997612346385e-215; 3.703365117465821e-06
451000; 30.203580596050628; 883.9094935497172; 3.117541918163453e-222; 2.56166139536849e-217; 3.690425996225545e-06
452000; 30.052939609372334; 879.5009765588526; 7.74968267055981e-224; 6.367857576466566e-219; 3.6775320827498724e-06
453000; 29.90304994774952; 875.1144471382089; 1.880345436757782e-225; 1.5450660942956302e-220; 3.6646832190882007e-06
454000; 29.75390786393286; 870.7497956243227; 4.452545193103471e-227; 3.6586238234210935e-222; 3.6518792478417914e-06
455000; 29.605509629362487; 866.406912900679; 1.0287988975899746e-228; 8.453565304765609e-224; 3.6391200121618356e-06
456000; 29.4578515340748; 862.085690394983; 2.3191999602500394e-230; 1.9056696468776e-225; 3.626405355747537e-06
